# First line is layer exposure time in seconds. Next lines are measured membrane thicknesses in pixels. 0 means there was no membrane.,,,
2,1,0.5,0.25
353,221,119,39
384,220,121.004,26
391.001,215.002,123,24
381,212,132.004,18
364,217,106,28.018
376.001,207,107,0
